Русское название,Английское название,Рейтинг
Столкновение (2004),Crash,8.052
Крупная рыба (2003),Big Fish,8.049
Завтра была война (1987),-,8.048
Звёздные войны: Эпизод 5 – Империя наносит ответный удар (1980),Star Wars: Episode V - The Empire Strikes Back,8.047
"Знакомьтесь, Джо Блэк (1998)",Meet Joe Black,8.046
Аватар (2009),Avatar,8.045
Билли Эллиот (2000),Billy Elliot,8.044
Старший сын (1975),-,8.044
Рапунцель: Запутанная история (2010),Tangled,8.043
Вверх (2009),Up,8.041
Поющие под дождем (1952),Singin' in the Rain,8.040
Мандарины (2013),Mandariinid,8.038
Мулан (1998),Mulan,8.037
"Аты-баты, шли солдаты... (1976)",-,8.035
Жизнь Пи (2012),Life of Pi,8.034
Гаттака (1997),Gattaca,8.033
Русалочка (1989),The Little Mermaid,8.032
Догвилль (2003),Dogville,8.032
Крамер против Крамера (1979),Kramer vs. Kramer,8.031
Холодное лето пятьдесят третьего... (1987),-,8.031
Леди и бродяга (1955),Lady and the Tramp,8.030
Мужики!.. (1981),-,8.030
Реквием по мечте (2000),Requiem for a Dream,8.029
Профессионал (1981),Le professionnel,8.029
Иваново детство (1962),-,8.029
Секреты Лос-Анджелеса (1997),L.A. Confidential,8.028
"Девочка, покорившая время (2006)",Toki o kakeru shôjo,8.027
Пираты Карибского моря: На краю Света (2007),Pirates of the Caribbean: At World's End,8.026
История игрушек: Большой побег (2010),Toy Story 3,8.026
Лис и пёс (1981),The Fox and the Hound,8.026
